english_name;suggested_russian_name;confidence;ambiguity_reason;number_of_in_stock_parttypes;total_in_stock_qty;manufacturers;catalog;sample_articles;applications;name_contains_russian;multi_meaning;split_by_source;safe_bulk_group;parts_with_this_english_name_total;parttypes_in_whole_catalog;suggested_operator_decision
BUSHING_SUSPENSION ARM;Втулка подвески ARM;NEEDS_HUMAN_REVIEW;"не переведены слова: ARM; многозначные слова, одним переводом на всю базу не закрывается: ARM";1;8.000;BRP;BRP;706206653;;нет;да;нет;нет;1;1;EDIT
SPARK PLUG NGK ILKR9Q7G;Свеча зажигания NGK ILKR9Q7G;NEEDS_HUMAN_REVIEW;не переведены слова: ILKR9Q7G;1;8.000;BRP;BRP;415130211;;нет;нет;нет;нет;1;1;EDIT
TORX SCREW M5 X 26;Винт TORX M5 X 26;NEEDS_HUMAN_REVIEW;не переведены слова: TORX;1;8.000;BRP;BRP;250000587;;нет;нет;нет;нет;1;1;EDIT
WASHER_THRUST;Шайба THRUST;NEEDS_HUMAN_REVIEW;не переведены слова: THRUST;1;8.000;BRP;BRP;417224868;;нет;нет;нет;нет;1;1;EDIT
Впускной коллектор 550XU;;NEEDS_HUMAN_REVIEW;"название уже содержит русский текст; в самом названии карточки уже есть русский текст";1;8;BRP;нет;;;да;нет;нет;нет;1;1;REVIEW
AXLE - 10MM;Ось 10MM;HIGH;;1;7.000;BRP;BRP;417224204;;нет;нет;нет;да;1;1;APPROVE
GASKET 0,6;Прокладка 0 6;HIGH;;1;7.000;BRP;BRP;420950912;;нет;нет;нет;да;1;1;APPROVE
SPRING NUT U M6 X 1.0;Гайка пружина U M6 X 1.0;MEDIUM;проверьте порядок слов: SPRING;1;7.000;BRP;BRP;250100198;;нет;нет;нет;нет;1;1;EDIT
THERMOSTAT GASKET;Прокладка термостат;MEDIUM;проверьте порядок слов: THERMOSTAT;1;7.000;BRP;BRP;420650300;;нет;нет;нет;нет;1;1;EDIT
IGNITION CABLE;Трос IGNITION;NEEDS_HUMAN_REVIEW;не переведены слова: IGNITION;1;7.000;BRP;BRP;512061126;;нет;нет;нет;нет;1;1;EDIT
MAGNETIC PLUG;Пробка MAGNETIC;NEEDS_HUMAN_REVIEW;не переведены слова: MAGNETIC;1;7.000;BRP;BRP;619230070;;нет;нет;нет;нет;1;1;EDIT
PROTECTION HOSE;Шланг PROTECTION;NEEDS_HUMAN_REVIEW;не переведены слова: PROTECTION;1;7.000;BRP;BRP;420960205;;нет;нет;нет;нет;1;1;EDIT
REBUILD-CYLINDER NICAS 593ETEC 08-09;Цилиндр REBUILD NICAS 593ETEC 08 09;NEEDS_HUMAN_REVIEW;не переведены слова: NICAS, REBUILD;1;7.000;BRP;BRP;421000667;;нет;нет;нет;нет;1;1;EDIT
SPARK PLUG NGK MR8BI-8;Свеча зажигания NGK MR8BI 8;NEEDS_HUMAN_REVIEW;не переведены слова: MR8BI;1;7.000;BRP;BRP;415129944;;нет;нет;нет;нет;1;1;EDIT
SPI CONNECTING ROD KIT - MAG & PTO;Шатун SPI комплект MAG & PTO;NEEDS_HUMAN_REVIEW;"не переведены слова: MAG, PTO; многозначные слова, одним переводом на всю базу не закрывается: KIT";1;7.000;SPI;aftermarket;SM-09344;;нет;да;нет;нет;1;1;EDIT
TAPPING SCREW M5 X 22;Винт TAPPING M5 X 22;NEEDS_HUMAN_REVIEW;не переведены слова: TAPPING;1;7.000;BRP;BRP;420841550;;нет;нет;нет;нет;1;1;EDIT
GASKET 1.0 MM;Прокладка 1.0 MM;HIGH;;1;6.000;BRP;BRP;420831849;;нет;нет;нет;да;1;1;APPROVE
HEX. SCREW M8 X 16;Винт шестигранный M8 X 16;HIGH;;1;6.000;BRP;BRP;236281684;;нет;нет;нет;да;1;1;APPROVE
GASKET ENGINE SUPPORT;Кронштейн прокладка двигателя;MEDIUM;у слова несколько принятых переводов, выберите нужный: SUPPORT;1;6.000;BRP;BRP;420430070;;нет;нет;нет;нет;1;1;EDIT
HOOK KIT;Крюк комплект;MEDIUM;"в названии есть многозначное слово, проверьте смысл; многозначные слова, одним переводом на всю базу не закрывается: KIT";1;6.000;BRP;BRP;861805521;;нет;да;нет;нет;1;1;EDIT
PIN_SPRING 2.6MM X 20.5MM;Пружина палец 2.6MM X 20.5MM;MEDIUM;проверьте порядок слов: PIN;1;6.000;BRP;BRP;250400101;;нет;нет;нет;нет;1;1;EDIT
ROLLER_PULLEY ASSY;Ролик шкива в сборе;MEDIUM;"в названии есть многозначное слово, проверьте смысл; многозначные слова, одним переводом на всю базу не закрывается: ASSY";1;6.000;BRP;BRP;417224947;;нет;да;нет;нет;1;1;EDIT
BUSHING_HALF;Втулка HALF;NEEDS_HUMAN_REVIEW;"не переведены слова: HALF; многозначные слова, одним переводом на всю базу не закрывается: HALF";1;6.000;BRP;BRP;709400783;;нет;да;нет;нет;1;1;EDIT
HEATING ELEMENT 20 WATT;Элемент HEATING 20 WATT;NEEDS_HUMAN_REVIEW;не переведены слова: HEATING, WATT;1;6.000;BRP;BRP;506152578;;нет;нет;нет;нет;1;1;EDIT
HEX. FLANGED ELASTIC NUT M8;Гайка шестигранный фланцевый ELASTIC M8;NEEDS_HUMAN_REVIEW;не переведены слова: ELASTIC;1;6.000;BRP;BRP;233281434;;нет;нет;нет;нет;1;1;EDIT
INTAKE SOCKET WITH REED VALVE;Клапан впускной гнездо WITH REED;NEEDS_HUMAN_REVIEW;не переведены слова: REED, WITH;1;6.000;BRP;BRP;420667533;;нет;нет;нет;нет;1;1;EDIT
PISTON ASS?Y, 76.13 MM, OVERSIZE;Поршень ASS?Y 76.13 MM OVERSIZE;NEEDS_HUMAN_REVIEW;не переведены слова: ASS?Y, OVERSIZE;1;6.000;BRP;BRP;420889174;;нет;нет;нет;нет;1;1;EDIT
RIVET_HEMLOK 6,4 X 18;Заклёпка HEMLOK 6 4 X 18;NEEDS_HUMAN_REVIEW;не переведены слова: HEMLOK;1;6.000;BRP;BRP;293150183;;нет;нет;нет;нет;1;1;EDIT
ROD_RETAINING;;NEEDS_HUMAN_REVIEW;"слово «ROD» без человека однозначно не перевести; многозначные слова, одним переводом на всю базу не закрывается: ROD";1;6.000;BRP;BRP;517305734;;нет;да;нет;нет;1;1;REVIEW
ROLLER_PULLEY INT;Ролик шкива INT;NEEDS_HUMAN_REVIEW;не переведены слова: INT;1;6.000;BRP;BRP;417224153;;нет;нет;нет;нет;1;1;EDIT
SWITCH KNOB, RED;Выключатель KNOB RED;NEEDS_HUMAN_REVIEW;не переведены слова: KNOB, RED;1;6.000;BRP;BRP;277001802;;нет;нет;нет;нет;1;1;EDIT
WATERTIGHT SEAL;Сальник WATERTIGHT;NEEDS_HUMAN_REVIEW;не переведены слова: WATERTIGHT;1;6.000;BRP;BRP;293250084;;нет;нет;нет;нет;1;1;EDIT
BRONCO CV JOINT BOOT KIT;Комплект пыльника ШРУС BRONCO;HIGH;;1;5.000;BRONCO PRODUCTS;aftermarket;AT-08545;;нет;нет;нет;да;1;8;APPROVE
LATCH - LEFT;Защёлка левый;HIGH;;1;5.000;BRP;BRP;517306310;;нет;нет;нет;да;1;1;APPROVE
LATCH - RIGHT;Защёлка правый;HIGH;;1;5.000;BRP;BRP;517306309;;нет;нет;нет;да;1;1;APPROVE
SPI, TOP END GASKET SET;Комплект прокладок верхней части двигателя SPI;HIGH;;1;5.000;SPI;aftermarket;SM-09537T;;нет;нет;нет;да;1;2;APPROVE
PLATE;Пластина;MEDIUM;у слова несколько принятых переводов, выберите нужный: PLATE;1;5.000;BRP;BRP;506152163;;нет;нет;нет;нет;1;1;EDIT
CHAIN TENSION GUIDE;Направляющая цепь TENSION;NEEDS_HUMAN_REVIEW;не переведены слова: TENSION;1;5.000;BRP;BRP;420436014;;нет;нет;нет;нет;1;1;EDIT
HEATING GRIP;Рукоятка HEATING;NEEDS_HUMAN_REVIEW;не переведены слова: HEATING;1;5.000;BRP;BRP;515175664;;нет;нет;нет;нет;1;1;EDIT
RELAY, 30 AMP;Реле 30 AMP;NEEDS_HUMAN_REVIEW;не переведены слова: AMP;1;5.000;BRP;BRP;515176774;;нет;нет;нет;нет;1;1;EDIT
RIVET_HEMLOK 6,4 X 19;Заклёпка HEMLOK 6 4 X 19;NEEDS_HUMAN_REVIEW;не переведены слова: HEMLOK;1;5.000;BRP;BRP;293150120;;нет;нет;нет;нет;1;1;EDIT
SCREW TORX TAPTITE FLANGE M6X20;Фланец винт TORX TAPTITE M6X20;NEEDS_HUMAN_REVIEW;не переведены слова: TAPTITE, TORX;1;5.000;BRP;BRP;420941256;;нет;нет;нет;нет;1;1;EDIT
SLIDER SHOE SET 1 SET = 12 PC;Ползун направляющей SET 1 SET = 12 PC;NEEDS_HUMAN_REVIEW;"не переведены слова: SET; многозначные слова, одним переводом на всю базу не закрывается: SET";1;5.000;BRP;BRP;420281296;;нет;да;нет;нет;1;1;EDIT
SPARK PLUG NGK CR8EB;Свеча зажигания NGK CR8EB;NEEDS_HUMAN_REVIEW;не переведены слова: CR8EB;1;5.000;BRP;BRP;415130795;;нет;нет;нет;нет;1;1;EDIT
SPARK PLUG NGK DCPR8E;Свеча зажигания NGK DCPR8E;NEEDS_HUMAN_REVIEW;не переведены слова: DCPR8E;1;5.000;BRP;BRP;715900637;;нет;нет;нет;нет;1;1;EDIT
SPI CONNECTING ROD SKI DOO;Шатун SPI лыжа DOO;NEEDS_HUMAN_REVIEW;не переведены слова: DOO;1;5.000;SPI;aftermarket;SM-09510;;нет;нет;нет;нет;1;1;EDIT
SUPERCHARGER KIT;;NEEDS_HUMAN_REVIEW;"головное слово не распознано; многозначные слова, одним переводом на всю базу не закрывается: KIT";1;5.000;BRP;BRP;420881102;;нет;да;нет;нет;1;1;REVIEW
TORX SCREW M6 X 20;Винт TORX M6 X 20;NEEDS_HUMAN_REVIEW;не переведены слова: TORX;1;5.000;BRP;BRP;250000722;;нет;нет;нет;нет;1;1;EDIT
ADAPTOR;Переходник;HIGH;;1;4.000;BRP;BRP;707001274;;нет;нет;нет;да;1;1;APPROVE
BEARING SLEEVE;Втулка подшипника;HIGH;;1;4.000;BRP;BRP;420933492;;нет;нет;нет;да;1;1;APPROVE
EXHAUST VALVE, UPPER;Клапан выпускной верхний;HIGH;;1;4.000;BRP;BRP;420854980;;нет;нет;нет;да;1;1;APPROVE
ISOLATOR;Изолятор;HIGH;;1;4.000;BRP;BRP;707000949;;нет;нет;нет;да;1;1;APPROVE
RETAINER;Фиксатор;HIGH;;1;4.000;BRP;BRP;505071812;;нет;нет;нет;да;1;1;APPROVE
UPPER CUSHION;Подушка верхний;HIGH;;1;4.000;BRP;BRP;414803100;;нет;нет;нет;да;1;1;APPROVE
V-BELT;Ремень V;HIGH;;1;4.000;BRP;BRP;420980514;;нет;нет;нет;да;1;1;APPROVE
BRACKET COVER;Крышка кронштейн;MEDIUM;проверьте порядок слов: BRACKET;1;4.000;BRP;BRP;705004987;;нет;нет;нет;нет;1;1;EDIT
BUMPER PLUG, BLACK;Пробка бампер чёрный;MEDIUM;проверьте порядок слов: BUMPER;1;4.000;BRP;BRP;291000339;;нет;нет;нет;нет;1;1;EDIT
CHAIN TENSIONER HOUSING;Натяжитель цепи корпус;MEDIUM;проверьте порядок слов: HOUSING;1;4.000;BRP;BRP;420236510;;нет;нет;нет;нет;1;1;EDIT
CONNECTING ROD SCREW M8 X 1;Шатун винт M8 X 1;MEDIUM;проверьте порядок слов: SCREW;1;4.000;BRP;BRP;420641640;;нет;нет;нет;нет;1;1;EDIT
NEEDLE PIN;Палец игла;MEDIUM;проверьте порядок слов: NEEDLE;1;4.000;BRP;BRP;420632435;;нет;нет;нет;нет;1;1;EDIT
PIN KIT;Палец комплект;MEDIUM;"в названии есть многозначное слово, проверьте смысл; многозначные слова, одним переводом на всю базу не закрывается: KIT";1;4.000;BRP;BRP;715500337;;нет;да;нет;нет;1;1;EDIT
PIN_ROLLER;Ролик палец;MEDIUM;проверьте порядок слов: PIN;1;4.000;BRP;BRP;417127294;;нет;нет;нет;нет;1;1;EDIT
PISTON ASS'Y, 73.958 MM;Поршень в сборе 73.958 MM;MEDIUM;"в названии есть многозначное слово, проверьте смысл; многозначные слова, одним переводом на всю базу не закрывается: ASS'Y";1;4.000;BRP;BRP;420893970;;нет;да;нет;нет;1;1;EDIT
SKI AXLE;Ось лыжа;MEDIUM;проверьте порядок слов: SKI;1;4.000;BRP;BRP;505073209;;нет;нет;нет;нет;1;1;EDIT
VALVE COVER;Крышка клапан;MEDIUM;проверьте порядок слов: VALVE;1;4.000;BRP;BRP;420854442;;нет;нет;нет;нет;1;1;EDIT
BUSHING-INT.;Втулка INT.;NEEDS_HUMAN_REVIEW;не переведены слова: INT.;1;4.000;BRP;BRP;706201590;;нет;нет;нет;нет;1;1;EDIT
CHAIN TENSIONER PLUNGER;Натяжитель цепи PLUNGER;NEEDS_HUMAN_REVIEW;не переведены слова: PLUNGER;1;4.000;BRP;BRP;420236521;;нет;нет;нет;нет;1;1;EDIT
FLEXIBLE ADAPTOR;Переходник FLEXIBLE;NEEDS_HUMAN_REVIEW;не переведены слова: FLEXIBLE;1;4.000;BRP;BRP;707002585;;нет;нет;нет;нет;1;1;EDIT
JOINT_BALL LWR;;NEEDS_HUMAN_REVIEW;"слово «JOINT» без человека однозначно не перевести; многозначные слова, одним переводом на всю базу не закрывается: JOINT";1;4.000;BRP;BRP;505074133;;нет;да;нет;нет;1;1;REVIEW
MAINTENANCE CLUTCH KIT eDrive II;;NEEDS_HUMAN_REVIEW;"головное слово не распознано; многозначные слова, одним переводом на всю базу не закрывается: KIT";1;4.000;BRP;BRP;415129781;;нет;да;нет;нет;1;1;REVIEW
PROX PISTON KIT SKI DOO MXZ500;Лыжа PROX поршень комплект DOO MXZ500;NEEDS_HUMAN_REVIEW;"не переведены слова: DOO, MXZ500; многозначные слова, одним переводом на всю базу не закрывается: KIT";1;4.000;PROX;aftermarket;01.5595.050;;нет;да;нет;нет;1;5;EDIT
PROX PISTON KIT SKI-DOO MXZ600 '03-09;Лыжа PROX поршень комплект DOO MXZ600 '03 09;NEEDS_HUMAN_REVIEW;"не переведены слова: '03, DOO, MXZ600; многозначные слова, одним переводом на всю базу не закрывается: KIT";1;4.000;PROX;aftermarket;01.5600.000;;нет;да;нет;нет;1;1;EDIT
REBUILD-CYLINDER NI SI C;Цилиндр REBUILD NI SI C;NEEDS_HUMAN_REVIEW;не переведены слова: REBUILD;1;4.000;BRP;BRP;421000702;;нет;нет;нет;нет;1;1;EDIT
REED VALVE ASS'Y;Клапан REED в сборе;NEEDS_HUMAN_REVIEW;"не переведены слова: REED; многозначные слова, одним переводом на всю базу не закрывается: ASS'Y";1;4.000;BRP;BRP;420924798;;нет;да;нет;нет;1;1;EDIT
RING;;NEEDS_HUMAN_REVIEW;"слово «RING» без человека однозначно не перевести; многозначные слова, одним переводом на всю базу не закрывается: RING";1;4.000;BRP;BRP;517305723;;нет;да;нет;нет;1;1;REVIEW
SCREW-HEX.M8 X 60;Винт HEX.M8 X 60;NEEDS_HUMAN_REVIEW;не переведены слова: HEX.M8;1;4.000;BRP;BRP;420840096;;нет;нет;нет;нет;1;1;EDIT
SILENT CHAIN;Цепь SILENT;NEEDS_HUMAN_REVIEW;не переведены слова: SILENT;1;4.000;BRP;BRP;420297063;;нет;нет;нет;нет;1;1;EDIT
START/RER BUTTON;Кнопка START RER;NEEDS_HUMAN_REVIEW;не переведены слова: RER, START;1;4.000;BRP;BRP;515176088;;нет;нет;нет;нет;1;1;EDIT
TORQUE GEAR;Шестерня TORQUE;NEEDS_HUMAN_REVIEW;не переведены слова: TORQUE;1;4.000;BRP;BRP;420660124;;нет;нет;нет;нет;1;1;EDIT
TORX-TRUSS M/S NYLON PATCH M5X20;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;4.000;BRP;BRP;250000586;;нет;нет;нет;нет;1;1;REVIEW
Лепестки Rotax797;;NEEDS_HUMAN_REVIEW;"название уже содержит русский текст; в самом названии карточки уже есть русский текст";1;4.000;;нет;420924798 карбон;;да;нет;нет;нет;1;2;REVIEW
FLANGED SCREW;Винт фланцевый;HIGH;;1;3.000;BRP;BRP;732601143;;нет;нет;нет;да;1;1;APPROVE
GRIP 148MM;Рукоятка 148MM;HIGH;;1;3.000;BRP;BRP;506152560;;нет;нет;нет;да;1;1;APPROVE
HEX. FLANGED SCREW M10 X 150;Винт шестигранный фланцевый M10 X 150;HIGH;;1;3.000;BRP;BRP;420641762;;нет;нет;нет;да;1;1;APPROVE
O-RING, 64 MM X 2 MM;Кольцо уплотнительное 64 MM X 2 MM;HIGH;;1;3.000;BRP;BRP;293300022;;нет;нет;нет;да;1;1;APPROVE
SCREW HEX. M10 X 60;Винт шестигранный M10 X 60;HIGH;;1;3.000;BRP;BRP;250000290;;нет;нет;нет;да;1;1;APPROVE
SWAY BAR BUSHING;Втулка стабилизатора;HIGH;;1;3.000;BRP;BRP;706203286;;нет;нет;нет;да;1;1;APPROVE
BLACK LATCH KIT;Защёлка чёрный комплект;MEDIUM;"в названии есть многозначное слово, проверьте смысл; многозначные слова, одним переводом на всю базу не закрывается: KIT";1;3.000;BRP;BRP;860200239;;нет;да;нет;нет;1;1;EDIT
DRIVE SHAFT PLUG;Пробка приводной вал;MEDIUM;проверьте порядок слов: SHAFT;1;3.000;BRP;BRP;272000173;;нет;нет;нет;нет;1;1;EDIT
FRONT SUSPENSION SUPPORT;Кронштейн передний подвески;MEDIUM;у слова несколько принятых переводов, выберите нужный: SUPPORT;1;3.000;BRP;BRP;518327487;;нет;нет;нет;нет;1;1;EDIT
PIN SCREW;Винт палец;MEDIUM;проверьте порядок слов: PIN;1;3.000;BRP;BRP;417222813;;нет;нет;нет;нет;1;1;EDIT
PISTON ASS'Y, 81.852 MM;Поршень в сборе 81.852 MM;MEDIUM;"в названии есть многозначное слово, проверьте смысл; многозначные слова, одним переводом на всю базу не закрывается: ASS'Y";1;3.000;BRP;BRP;420893436;;нет;да;нет;нет;1;1;EDIT
SWITCH COVER;Крышка выключатель;MEDIUM;проверьте порядок слов: SWITCH;1;3.000;BRP;BRP;572100901;;нет;нет;нет;нет;1;1;EDIT
AMBER REFLECTOR;Катафот AMBER;NEEDS_HUMAN_REVIEW;не переведены слова: AMBER;1;3.000;BRP;BRP;705002409;;нет;нет;нет;нет;1;1;EDIT
CAM MOLDED;;NEEDS_HUMAN_REVIEW;"слово «CAM» без человека однозначно не перевести; многозначные слова, одним переводом на всю базу не закрывается: CAM";1;3.000;BRP;BRP;417224113;;нет;да;нет;нет;1;1;REVIEW
CENTRIFUGAL WEIGHT;Груз CENTRIFUGAL;NEEDS_HUMAN_REVIEW;не переведены слова: CENTRIFUGAL;1;3.000;BRP;BRP;420231070;;нет;нет;нет;нет;1;1;EDIT
COLLAR NUT M8;Гайка COLLAR M8;NEEDS_HUMAN_REVIEW;не переведены слова: COLLAR;1;3.000;BRP;BRP;420942331;;нет;нет;нет;нет;1;1;EDIT
CYLINDER BLOCK PLASMA REBUILD G4;Цилиндр BLOCK PLASMA REBUILD G4;NEEDS_HUMAN_REVIEW;"не переведены слова: BLOCK, PLASMA, REBUILD; многозначные слова, одним переводом на всю базу не закрывается: BLOCK";1;3.000;;нет;420413575RG4;;нет;да;нет;нет;1;1;EDIT
DEKO WASHER;Шайба DEKO;NEEDS_HUMAN_REVIEW;не переведены слова: DEKO;1;3.000;BRP;BRP;420231090;;нет;нет;нет;нет;1;1;EDIT
DOUBLE GASKET 0.6 MM;Прокладка DOUBLE 0.6 MM;NEEDS_HUMAN_REVIEW;не переведены слова: DOUBLE;1;3.000;BRP;BRP;420831021;;нет;нет;нет;нет;1;1;EDIT
FRICTION WASHER;Шайба FRICTION;NEEDS_HUMAN_REVIEW;не переведены слова: FRICTION;1;3.000;BRP;BRP;420460430;;нет;нет;нет;нет;1;1;EDIT
HANDLEBAR ANODIZED;Руль ANODIZED;NEEDS_HUMAN_REVIEW;не переведены слова: ANODIZED;1;3.000;BRP;BRP;506152825;;нет;нет;нет;нет;1;1;EDIT
HEX. DISTANCE SCREW M6 X 30.5;Винт шестигранный DISTANCE M6 X 30.5;NEEDS_HUMAN_REVIEW;не переведены слова: DISTANCE;1;3.000;BRP;BRP;420440568;;нет;нет;нет;нет;1;1;EDIT
LABYRINTH SEAL;Сальник LABYRINTH;NEEDS_HUMAN_REVIEW;не переведены слова: LABYRINTH;1;3.000;BRP;BRP;503190434;;нет;нет;нет;нет;1;1;EDIT
PISTON ASS'Y 75.86 MM, STANDARD;Поршень в сборе 75.86 MM STANDARD;NEEDS_HUMAN_REVIEW;"не переведены слова: STANDARD; многозначные слова, одним переводом на всю базу не закрывается: ASS'Y";1;3.000;BRP;BRP;420889050;;нет;да;нет;нет;1;1;EDIT
PISTON ASS?Y, 75.88 MM, STANDARD;Поршень ASS?Y 75.88 MM STANDARD;NEEDS_HUMAN_REVIEW;не переведены слова: ASS?Y, STANDARD;1;3.000;BRP;BRP;420889173;;нет;нет;нет;нет;1;1;EDIT
QUARTER-TURN HANDLE;Ручка QUARTER TURN;NEEDS_HUMAN_REVIEW;не переведены слова: QUARTER, TURN;1;3.000;BRP;BRP;517304296;;нет;нет;нет;нет;1;1;EDIT
RAMP 441;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;3.000;BRP;BRP;417223098;;нет;нет;нет;нет;1;1;REVIEW
RAMP 614;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;3.000;BRP;BRP;417222883;;нет;нет;нет;нет;1;1;REVIEW
RETAINING RING_EXTERNAL;;NEEDS_HUMAN_REVIEW;"головное слово не распознано; многозначные слова, одним переводом на всю базу не закрывается: RING";1;3.000;BRP;BRP;293370183;;нет;да;нет;нет;1;1;REVIEW
ROLLER_PULLEY EXT;Ролик шкива EXT;NEEDS_HUMAN_REVIEW;не переведены слова: EXT;1;3.000;BRP;BRP;417224916;;нет;нет;нет;нет;1;1;EDIT
SCREW-HEX.FLANGE M10 X 16 S.GRIP;Винт HEX.FLANGE M10 X 16 S.GRIP;NEEDS_HUMAN_REVIEW;не переведены слова: HEX.FLANGE, S.GRIP;1;3.000;BRP;BRP;250001044;;нет;нет;нет;нет;1;1;EDIT
SEALING CUP;Стакан SEALING;NEEDS_HUMAN_REVIEW;не переведены слова: SEALING;1;3.000;BRP;BRP;420460830;;нет;нет;нет;нет;1;1;EDIT
SHOE CAM SLIDER;Ползун ползун CAM;NEEDS_HUMAN_REVIEW;"не переведены слова: CAM; многозначные слова, одним переводом на всю базу не закрывается: CAM";1;3.000;BRP;BRP;417212500;;нет;да;нет;нет;1;1;EDIT
SPONSON ADAPTER;Переходник SPONSON;NEEDS_HUMAN_REVIEW;не переведены слова: SPONSON;1;3.000;BRP;BRP;292001046;;нет;нет;нет;нет;1;1;EDIT
THRUST-BEARING;Подшипник THRUST;NEEDS_HUMAN_REVIEW;не переведены слова: THRUST;1;3.000;BRP;BRP;293350022;;нет;нет;нет;нет;1;1;EDIT
TORX-TRUSS M/S M5 X 14 S.GRIP;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;3.000;BRP;BRP;250000763;;нет;нет;нет;нет;1;1;REVIEW
ALL BALLS TIE ROD END KIT LEFT;Комплект наконечников рулевой тяги ALL BALLS левый;HIGH;;1;2.000;ALL BALLS RACING INC;aftermarket;51-1046-L;;нет;нет;нет;да;1;10;APPROVE
ANGLED BEARING;Подшипник угловой;HIGH;;1;2.000;BRP;BRP;271002182;;нет;нет;нет;да;1;1;APPROVE
BELLOW;Гофра;HIGH;;1;2.000;BRP;BRP;271001422;;нет;нет;нет;да;1;1;APPROVE
CUP;Стакан;HIGH;;1;2.000;BRP;BRP;705007171;;нет;нет;нет;да;1;1;APPROVE
EXHAUST BELLOWS;Гофра выпускной;HIGH;;1;2.000;BRP;BRP;420260723;;нет;нет;нет;да;1;1;APPROVE
EXHAUST HOSE;Шланг выпускной;HIGH;;1;2.000;BRP;BRP;274001302;;нет;нет;нет;да;1;1;APPROVE
FUEL RAIL;Рампа топливная;HIGH;;1;2.000;BRP;BRP;420874410;;нет;нет;нет;да;1;1;APPROVE
HEX. SCREW M8 X 70;Винт шестигранный M8 X 70;HIGH;;1;2.000;BRP;BRP;207087060;;нет;нет;нет;да;1;1;APPROVE
LH AIR FILTER;Фильтр воздушный левый;HIGH;;1;2.000;BRP;BRP;508000731;;нет;нет;нет;да;1;1;APPROVE
LOWER CUSHION;Подушка нижний;HIGH;;1;2.000;BRP;BRP;414803200;;нет;нет;нет;да;1;1;APPROVE
MANIFOLD;Коллектор;HIGH;;1;2.000;BRP;BRP;512060692;;нет;нет;нет;да;1;1;APPROVE
RH FRONT MEMBER;Балка правый передний;HIGH;;1;2.000;BRP;BRP;518325949;;нет;нет;нет;да;1;1;APPROVE
RUBBER BELLOW;Гофра резиновый;HIGH;;1;2.000;BRP;BRP;705400352;;нет;нет;нет;да;1;1;APPROVE
SCREW HEX. M10 X 70;Винт шестигранный M10 X 70;HIGH;;1;2.000;BRP;BRP;250001024;;нет;нет;нет;да;1;1;APPROVE
UPPER EXHAUST VALVE;Клапан выпускной верхний;HIGH;;1;2.000;BRP;BRP;420854900;;нет;нет;нет;да;1;1;APPROVE
AIR FILTER LH (NITEX MESH);Фильтр воздушный левый NITEX сетка;MEDIUM;проверьте порядок слов: MESH;1;2.000;BRP;BRP;508000807;;нет;нет;нет;нет;1;1;EDIT
BRONCO CV BOOT KIT;Пыльник BRONCO CV комплект;MEDIUM;"в названии есть многозначное слово, проверьте смысл; многозначные слова, одним переводом на всю базу не закрывается: KIT";1;2.000;BRONCO PRODUCTS;aftermarket;AT-03081;;нет;да;нет;нет;1;23;EDIT
CHAIN SLIDER;Ползун цепь;MEDIUM;проверьте порядок слов: CHAIN;1;2.000;BRP;BRP;504153312;;нет;нет;нет;нет;1;1;EDIT
CONNECTING ROD KIT;Шатун комплект;MEDIUM;"в названии есть многозначное слово, проверьте смысл; многозначные слова, одним переводом на всю базу не закрывается: KIT";1;2.000;SPI;aftermarket;SM-09352;;нет;да;нет;нет;1;2;EDIT
DRAIN PLUG KIT;Пробка сливная комплект;MEDIUM;"в названии есть многозначное слово, проверьте смысл; многозначные слова, одним переводом на всю базу не закрывается: KIT";1;2.000;BRP;BRP;707001179;;нет;да;нет;нет;1;1;EDIT
DRAIN PLUG NECK;Пробка сливная горловина;MEDIUM;проверьте порядок слов: NECK;1;2.000;BRP;BRP;269800521;;нет;нет;нет;нет;1;1;EDIT
EXHAUST MANIFOLD GASKET;Прокладка выпускной коллектор;MEDIUM;проверьте порядок слов: MANIFOLD;1;2.000;BRP;BRP;420931653;;нет;нет;нет;нет;1;1;EDIT
GASKET COVER WATER PUMP;Насос водяной прокладка крышка;MEDIUM;проверьте порядок слов: COVER, GASKET;1;2.000;BRP;BRP;420430051;;нет;нет;нет;нет;1;1;EDIT
GEAR CLAMP;Хомут шестерня;MEDIUM;проверьте порядок слов: GEAR;1;2.000;BRP;BRP;420853023;;нет;нет;нет;нет;1;1;EDIT
GRIP HANDLEBAR;Руль рукоятка;MEDIUM;проверьте порядок слов: GRIP;1;2.000;BRP;BRP;860201802;;нет;нет;нет;нет;1;1;EDIT
GUARD_HOSE F;Шланг защита F;MEDIUM;проверьте порядок слов: GUARD;1;2.000;BRP;BRP;705601893;;нет;нет;нет;нет;1;1;EDIT
LATCH-PANEL;Панель защёлка;MEDIUM;проверьте порядок слов: LATCH;1;2.000;BRP;BRP;517304572;;нет;нет;нет;нет;1;1;EDIT
PISTON ASS'Y,;Поршень в сборе;MEDIUM;"в названии есть многозначное слово, проверьте смысл; многозначные слова, одним переводом на всю базу не закрывается: ASS'Y";1;2.000;BRP;BRP;420893797;;нет;да;нет;нет;1;1;EDIT
