article;english_name;suggested_russian_name;confidence;ambiguity_note;manufacturer;in_stock_qty;priority;special
420631933;OIL SEAL;Сальник;HIGH;;BRP;3.000;1;
705401618;OIL SEAL;Сальник;HIGH;;BRP;3.000;1;
420831956;OIL SEAL;Сальник;HIGH;;BRP;3.000;1;
420650682;OIL SEAL;Сальник;HIGH;;BRP;3.000;1;
420931284;OIL SEAL;Сальник;HIGH;;BRP;3.000;1;
619230031;OIL SEAL;Сальник;HIGH;;BRP;3.000;1;
420931910;OIL SEAL;Сальник;HIGH;;BRP;3.000;1;
417222594;PIN;Палец;HIGH;;BRP;3.000;1;
417222813;PIN SCREW;Винт палец;MEDIUM;проверьте порядок слов: PIN;BRP;3.000;1;
420889050;PISTON ASS'Y 75.86 MM, STANDARD;Поршень в сборе 75.86 MM STANDARD;NEEDS HUMAN REVIEW;не переведены слова: STANDARD;BRP;3.000;1;
420893436;PISTON ASS'Y, 81.852 MM;Поршень в сборе 81.852 MM;MEDIUM;в названии есть многозначное слово, проверьте смысл;BRP;3.000;1;
420889173;PISTON ASS?Y, 75.88 MM, STANDARD;Поршень ASS?Y 75.88 MM STANDARD;NEEDS HUMAN REVIEW;не переведены слова: ASS?Y, STANDARD;BRP;3.000;1;
512060671;PLASTIC NUT;Гайка пластиковый;HIGH;;BRP;3.000;1;
519000376;PUMP_HYDRAULIC;Насос HYDRAULIC;NEEDS HUMAN REVIEW;не переведены слова: HYDRAULIC;BRP;3.000;1;
519000375;PUMP_HYDRAULIC;Насос HYDRAULIC;NEEDS HUMAN REVIEW;не переведены слова: HYDRAULIC;BRP;3.000;1;
517304296;QUARTER-TURN HANDLE;Ручка QUARTER TURN;NEEDS HUMAN REVIEW;не переведены слова: QUARTER, TURN;BRP;3.000;1;
417223098;RAMP 441;;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;3.000;1;
417222883;RAMP 614;;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;3.000;1;
293370183;RETAINING RING_EXTERNAL;;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;3.000;1;
417224916;ROLLER_PULLEY EXT;Ролик шкива EXT;NEEDS HUMAN REVIEW;не переведены слова: EXT;BRP;3.000;1;
420650371;ROTARY SEAL;Сальник ROTARY;NEEDS HUMAN REVIEW;не переведены слова: ROTARY;BRP;3.000;1;
512060448;RUBBER MOUNT;Опора резиновый;HIGH;;BRP;3.000;1;
605348954;RUNNER PROTECTOR;Защита направляющая;MEDIUM;проверьте порядок слов: RUNNER;BRP;3.000;1;
250000290;SCREW HEX. M10 X 60;Винт шестигранный M10 X 60;HIGH;;BRP;3.000;1;
250001044;SCREW-HEX.FLANGE M10 X 16 S.GRIP;Винт HEX.FLANGE M10 X 16 S.GRIP;NEEDS HUMAN REVIEW;не переведены слова: HEX.FLANGE, S.GRIP;BRP;3.000;1;
420460830;SEALING CUP;Стакан SEALING;NEEDS HUMAN REVIEW;не переведены слова: SEALING;BRP;3.000;1;
417212500;SHOE CAM SLIDER;Ползун ползун CAM;NEEDS HUMAN REVIEW;не переведены слова: CAM;BRP;3.000;1;
420231080;SPACER;Проставка;HIGH;;BRP;3.000;1;
292001046;SPONSON ADAPTER;Переходник SPONSON;NEEDS HUMAN REVIEW;не переведены слова: SPONSON;BRP;3.000;1;
514055203;STOPPER;Упор;HIGH;;BRP;3.000;1;
706203286;SWAY BAR BUSHING;Втулка стабилизатора;HIGH;;BRP;3.000;1;
572100901;SWITCH COVER;Крышка выключатель;MEDIUM;проверьте порядок слов: SWITCH;BRP;3.000;1;
293350022;THRUST-BEARING;Подшипник THRUST;NEEDS HUMAN REVIEW;не переведены слова: THRUST;BRP;3.000;1;
250000763;TORX-TRUSS M/S M5 X 14 S.GRIP;;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;3.000;1;
707800288;AIR FILTER;Фильтр воздушный;HIGH;;BRP;2.000;1;
508000807;AIR FILTER LH (NITEX MESH);Фильтр воздушный левый NITEX сетка;MEDIUM;проверьте порядок слов: MESH;BRP;2.000;1;
508000906;AIR FILTER RH, (NITEX MESH);Фильтр воздушный правый NITEX сетка;MEDIUM;проверьте порядок слов: MESH;BRP;2.000;1;
619230037;ALLEN SCREW M8 X 10;Винт ALLEN M8 X 10;NEEDS HUMAN REVIEW;не переведены слова: ALLEN;BRP;2.000;1;
271002182;ANGLED BEARING;Подшипник угловой;HIGH;;BRP;2.000;1;
293350051;BALL BEARING;Подшипник шариковый;HIGH;;BRP;2.000;1;
271001422;BELLOW;Гофра;HIGH;;BRP;2.000;1;
272000184;BELLOWS;Гофра;HIGH;;BRP;2.000;1;
422280366;BELT DRIVE;Ремень вариатора;HIGH;;BRP;2.000;1;
605348425;BELT_DRIVE;Ремень вариатора;HIGH;;BRP;2.000;1;
417300155;BELT_DRIVE;Ремень вариатора;HIGH;;BRP;2.000;1;
417300551;BELT_DRIVE;Ремень вариатора;HIGH;;BRP;2.000;1;
204950033;BIMINI POST;Стойка BIMINI;NEEDS HUMAN REVIEW;не переведены слова: BIMINI;BRP;2.000;1;
505070963;BLACK HANDLE;Ручка чёрный;HIGH;;BRP;2.000;1;
710000817;BLACK-ELECTRONIC KEY;Ключ чёрный ELECTRONIC;NEEDS HUMAN REVIEW;не переведены слова: ELECTRONIC;BRP;2.000;1;
705401354;BOOT CV JOINT KIT;Комплект пыльника ШРУС;HIGH;;BRP;2.000;1;
705401346;BOOT CV JOINT KIT;Комплект пыльника ШРУС;HIGH;;BRP;2.000;1;
715900298;BOOT_CV JOINT KIT;Комплект пыльника ШРУС;HIGH;;BRP;2.000;1;
715900299;BOOT_CV JOINT KIT;Комплект пыльника ШРУС;HIGH;;BRP;2.000;1;
705500870;BOOT_CV JOINT KIT;Комплект пыльника ШРУС;HIGH;;BRP;2.000;1;
705400511;BOOT_CV JOINT KIT;Комплект пыльника ШРУС;HIGH;;BRP;2.000;1;
619230020;BUSHING;Втулка;HIGH;;BRP;2.000;1;
417222758;BUSHING;Втулка;HIGH;;BRP;2.000;1;
417223471;BUSHING;Втулка;HIGH;;BRP;2.000;1;
417004201;BUSHING;Втулка;HIGH;;BRP;2.000;1;
706004641;BUSHING_STABILIZER BAR;Втулка стабилизатора BAR;NEEDS HUMAN REVIEW;не переведены слова: BAR;BRP;2.000;1;
420881148;CARBON BRUSH SET;Щётка CARBON SET;NEEDS HUMAN REVIEW;не переведены слова: CARBON, SET;BRP;2.000;1;
420867300;CARBURETOR SOCKET;Гнездо карбюратор;MEDIUM;проверьте порядок слов: CARBURETOR;BRP;2.000;1;
504153312;CHAIN SLIDER;Ползун цепь;MEDIUM;проверьте порядок слов: CHAIN;BRP;2.000;1;
420956071;CHECK VALVE;Клапан обратный;HIGH;;BRP;2.000;1;
420956511;CHECK VALVE;Клапан обратный;HIGH;;BRP;2.000;1;
420845611;CIRCLIP;Кольцо стопорное;HIGH;;BRP;2.000;1;
420845580;CIRCLIP;Кольцо стопорное;HIGH;;BRP;2.000;1;
293650350;CLAMP_CRIMP;Хомут CRIMP;NEEDS HUMAN REVIEW;не переведены слова: CRIMP;BRP;2.000;1;
420638040;COMPRESSION SPRING;Пружина COMPRESSION;NEEDS HUMAN REVIEW;не переведены слова: COMPRESSION;BRP;2.000;1;
706000009;CONE BEARING;Подшипник CONE;NEEDS HUMAN REVIEW;не переведены слова: CONE;BRP;2.000;1;
420917546;CONNECTING ROD ASS?Y;Шатун ASS?Y;NEEDS HUMAN REVIEW;не переведены слова: ASS?Y;BRP;2.000;1;
706000749;COVER;Крышка;HIGH;;BRP;2.000;1;
705007171;CUP;Стакан;HIGH;;BRP;2.000;1;
706200185;CUSHION;Подушка;HIGH;;BRP;2.000;1;
505072204;DOUBLE BALL JOINT LINK;Шаровая опора DOUBLE LINK;NEEDS HUMAN REVIEW;не переведены слова: DOUBLE, LINK;BRP;2.000;1;
420831022;DOUBLE GASKET 0.7 MM;Прокладка DOUBLE 0.7 MM;NEEDS HUMAN REVIEW;не переведены слова: DOUBLE;BRP;2.000;1;
518326449;DRAFT BAR;;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;2.000;1;
707001179;DRAIN PLUG KIT;Пробка сливная комплект;MEDIUM;в названии есть многозначное слово, проверьте смысл;BRP;2.000;1;
269800521;DRAIN PLUG NECK;Пробка сливная горловина;MEDIUM;проверьте порядок слов: NECK;BRP;2.000;1;
417224044;DRIVE SLIDING SHEAVE ASSY;Щека шкива приводной SLIDING в сборе;NEEDS HUMAN REVIEW;не переведены слова: SLIDING;BRP;2.000;1;
420260723;EXHAUST BELLOWS;Гофра выпускной;HIGH;;BRP;2.000;1;
707601033;EXHAUST GASKET;Прокладка выпускного коллектора;HIGH;;BRP;2.000;1;
274001302;EXHAUST HOSE;Шланг выпускной;HIGH;;BRP;2.000;1;
420931653;EXHAUST MANIFOLD GASKET;Прокладка выпускной коллектор;MEDIUM;проверьте порядок слов: MANIFOLD;BRP;2.000;1;
420854449;EXHAUST VALVE;Клапан выпускной;HIGH;;BRP;2.000;1;
250000418;FLANGED HEX. SCREW M6 X 18, SCOTCH GRIP;Рукоятка фланцевый шестигранный винт M6 X 18 SCOTCH;NEEDS HUMAN REVIEW;не переведены слова: SCOTCH;BRP;2.000;1;
619230055;FORK, FORWARDS;Вилка FORWARDS;NEEDS HUMAN REVIEW;не переведены слова: FORWARDS;BRP;2.000;1;
420874410;FUEL RAIL;Рампа топливная;HIGH;;BRP;2.000;1;
420651211;GASKET;Прокладка;HIGH;;BRP;2.000;1;
420431848;GASKET;Прокладка;HIGH;;BRP;2.000;1;
420630642;GASKET;Прокладка;HIGH;;BRP;2.000;1;
420630260;GASKET;Прокладка;HIGH;;BRP;2.000;1;
420430126;GASKET;Прокладка;HIGH;;BRP;2.000;1;
420430051;GASKET COVER WATER PUMP;Насос водяной прокладка крышка;MEDIUM;проверьте порядок слов: COVER, GASKET;BRP;2.000;1;
420631001;GASKET VALVE ROD HOUSING;Корпус прокладка клапан ROD;NEEDS HUMAN REVIEW;не переведены слова: ROD;BRP;2.000;1;
420853023;GEAR CLAMP;Хомут шестерня;MEDIUM;проверьте порядок слов: GEAR;BRP;2.000;1;
506152486;GRIP;Рукоятка;HIGH;;BRP;2.000;1;
860201802;GRIP HANDLEBAR;Руль рукоятка;MEDIUM;проверьте порядок слов: GRIP;BRP;2.000;1;
271002225;GUARD;Защита;HIGH;;BRP;2.000;1;
417009205;GUARD;Защита;HIGH;;BRP;2.000;1;
705601893;GUARD_HOSE F;Шланг защита F;MEDIUM;проверьте порядок слов: GUARD;BRP;2.000;1;
269800431;HAIRPIN CUTTER;Резак HAIRPIN;NEEDS HUMAN REVIEW;не переведены слова: HAIRPIN;BRP;2.000;1;
420933862;HALF BUSHING;Втулка HALF;NEEDS HUMAN REVIEW;не переведены слова: HALF;BRP;2.000;1;
709400034;HALF-HOUSING;Корпус HALF;NEEDS HUMAN REVIEW;не переведены слова: HALF;BRP;2.000;1;
420933470;HALF-RING;;NEEDS HUMAN REVIEW;слово «HALF» без человека однозначно не перевести;BRP;2.000;1;
506152428;HEATED FILM, 25W;Плёнка HEATED 25W;NEEDS HUMAN REVIEW;не переведены слова: HEATED;BRP;2.000;1;
207581646;HEX. FLANGED SCREW M8 X 16, SCOTCH GRIP;Рукоятка шестигранный фланцевый винт M8 X 16 SCOTCH;NEEDS HUMAN REVIEW;не переведены слова: SCOTCH;BRP;2.000;1;
207087060;HEX. SCREW M8 X 70;Винт шестигранный M8 X 70;HIGH;;BRP;2.000;1;
570027100;HOOD LATCH;Защёлка капот;MEDIUM;проверьте порядок слов: HOOD;BRP;2.000;1;
271000516;IMPELLER BOOT;Пыльник крыльчатки;HIGH;;BRP;2.000;1;
420267042;INTAKE NECK;Горловина впускной;HIGH;;BRP;2.000;1;
706200444;JOINT ATTACHMENT;;NEEDS HUMAN REVIEW;слово «JOINT» без человека однозначно не перевести;BRP;2.000;1;
517304289;LATCH PANNEL;Защёлка PANNEL;NEEDS HUMAN REVIEW;не переведены слова: PANNEL;BRP;2.000;1;
517304572;LATCH-PANEL;Панель защёлка;MEDIUM;проверьте порядок слов: LATCH;BRP;2.000;1;
507032476;LEVER;Рычаг;HIGH;;BRP;2.000;1;
508000731;LH AIR FILTER;Фильтр воздушный левый;HIGH;;BRP;2.000;1;
414803200;LOWER CUSHION;Подушка нижний;HIGH;;BRP;2.000;1;
506153048;LOWER HALF-HOUSING;Корпус нижний HALF;NEEDS HUMAN REVIEW;не переведены слова: HALF;BRP;2.000;1;
512060692;MANIFOLD;Коллектор;HIGH;;BRP;2.000;1;
507032478;MASTER CYLINDER RESERVOIR ASS'Y;Цилиндр MASTER RESERVOIR в сборе;NEEDS HUMAN REVIEW;не переведены слова: MASTER, RESERVOIR;BRP;2.000;1;
611002529;NEEDLE BEARING;Подшипник игольчатый;HIGH;;BRP;2.000;1;
705402848;NEEDLE BEARING;Подшипник игольчатый;HIGH;;BRP;2.000;1;
293200134;NEOPRENE SEAL;Сальник NEOPRENE;NEEDS HUMAN REVIEW;не переведены слова: NEOPRENE;BRP;2.000;1;
614602431;O RING;Кольцо уплотнительное;HIGH;;BRP;2.000;1;
293300117;O-RING;Кольцо уплотнительное;HIGH;;BRP;2.000;1;
293300068;O-RING;Кольцо уплотнительное;HIGH;;BRP;2.000;1;
705500267;O-RING;Кольцо уплотнительное;HIGH;;BRP;2.000;1;
420631612;O-RING;Кольцо уплотнительное;HIGH;;BRP;2.000;1;
420950410;O-RING;Кольцо уплотнительное;HIGH;;BRP;2.000;1;
705002665;OBLONG GROMMET;Втулка резиновая OBLONG;NEEDS HUMAN REVIEW;не переведены слова: OBLONG;BRP;2.000;1;
515176508;OIL LEVEL SENSOR;Датчик масляный LEVEL;NEEDS HUMAN REVIEW;не переведены слова: LEVEL;BRP;2.000;1;
420856533;OIL PRESSURE SWITCH;Датчик давления масла;HIGH;;BRP;2.000;1;
420256978;OIL PRESSURE SWITCH;Датчик давления масла;HIGH;;BRP;2.000;1;
420256915;OIL PRESSURE SWITCH;Датчик давления масла;HIGH;;BRP;2.000;1;
420820090;OIL PUMP SHAFT;Насос масляный вал;MEDIUM;проверьте порядок слов: SHAFT;BRP;2.000;1;
267000094;OIL SEAL;Сальник;HIGH;;BRP;2.000;1;
420430325;OIL SEAL;Сальник;HIGH;;BRP;2.000;1;
420230195;OIL SEAL;Сальник;HIGH;;BRP;2.000;1;
420430580;OIL SEAL;Сальник;HIGH;;BRP;2.000;1;
705501556;OIL SEAL;Сальник;HIGH;;BRP;2.000;1;
293250138;OIL SEAL;Сальник;HIGH;;BRP;2.000;1;
420930392;OIL SEAL;Сальник;HIGH;;BRP;2.000;1;
420630152;OIL SEAL;Сальник;HIGH;;BRP;2.000;1;
619230010;OIL SEAL;Сальник;HIGH;;BRP;2.000;1;
420852639;PAWL;;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;2.000;1;
417224510;PIN;Палец;HIGH;;BRP;2.000;1;
420890071;PISTON 72.16, 1ST OVERSIZE;Поршень 72.16 1ST OVERSIZE;NEEDS HUMAN REVIEW;не переведены слова: OVERSIZE;BRP;2.000;1;
420893895;PISTON ASS'Y WITH RINGS, 72.17MM;Поршень в сборе WITH RINGS 72.17MM;NEEDS HUMAN REVIEW;не переведены слова: RINGS, WITH;BRP;2.000;1;
420893797;PISTON ASS'Y,;Поршень в сборе;MEDIUM;в названии есть многозначное слово, проверьте смысл;BRP;2.000;1;
420889052;PISTON ASSY 76.36 MM, 2ND OVERSIZE;Поршень в сборе 76.36 MM 2ND OVERSIZE;NEEDS HUMAN REVIEW;не переведены слова: OVERSIZE;BRP;2.000;1;
292002022;PLUG ASS'Y;Пробка в сборе;MEDIUM;в названии есть многозначное слово, проверьте смысл;BRP;2.000;1;
420641150;PLUG SCREW;Винт пробка;MEDIUM;проверьте порядок слов: PLUG;BRP;2.000;1;
504153054;PROTECTIVE RUBBER;;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;2.000;1;
271000459;PROTECTOR HOSE;Шланг защита;MEDIUM;проверьте порядок слов: PROTECTOR;BRP;2.000;1;
271002029;REDUCER;;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;2.000;1;
420924532;REED PEDAL;;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;2.000;1;
517302673;RETAINER CABLE;Трос фиксатор;MEDIUM;проверьте порядок слов: RETAINER;BRP;2.000;1;
518325949;RH FRONT MEMBER;Балка правый передний;HIGH;;BRP;2.000;1;
517305787;RH/LH MIRROR ASS'Y;Зеркало правый левый в сборе;MEDIUM;в названии есть многозначное слово, проверьте смысл;BRP;2.000;1;
293150151;RIVET_POP 1/4 X ,625;Заклёпка POP 1 4 X 625;NEEDS HUMAN REVIEW;не переведены слова: POP;BRP;2.000;1;
506152498;ROD_LINK;;NEEDS HUMAN REVIEW;слово «ROD» без человека однозначно не перевести;BRP;2.000;1;
705400352;RUBBER BELLOW;Гофра резиновый;HIGH;;BRP;2.000;1;
705401093;RUBBER BOOT;Пыльник резиновый;HIGH;;BRP;2.000;1;
512059691;RUBBER MOUNT;Опора резиновый;HIGH;;BRP;2.000;1;
420850045;RUBBER RING;;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;2.000;1;
503191291;RUBBER STOPPER;Упор резиновый;HIGH;;BRP;2.000;1;
503190576;RUBBER STOPPER;Упор резиновый;HIGH;;BRP;2.000;1;
503192299;RUNNER PROTECTOR;Защита направляющая;MEDIUM;проверьте порядок слов: RUNNER;BRP;2.000;1;
572075400;RUNNER PROTECTOR;Защита направляющая;MEDIUM;проверьте порядок слов: RUNNER;BRP;2.000;1;
250001024;SCREW HEX. M10 X 70;Винт шестигранный M10 X 70;HIGH;;BRP;2.000;1;
271002071;SEAL;Сальник;HIGH;;BRP;2.000;1;
5444186;Seal;Сальник;HIGH;;BRP;2.000;1;
505074138;SKI STOPPER;Ограничитель лыжи;HIGH;;BRP;2.000;1;
505072594;SKI STOPPER;Ограничитель лыжи;HIGH;;BRP;2.000;1;
417223606;SLIDER FLANGE ASS'Y;Фланец ползун в сборе;MEDIUM;проверьте порядок слов: SLIDER;BRP;2.000;1;
520001405;SNOW GUARD;Защита SNOW;NEEDS HUMAN REVIEW;не переведены слова: SNOW;BRP;2.000;1;
271001393;SPACER;Проставка;HIGH;;BRP;2.000;1;
415129484;SPARK PLUG NGK PFR7AB;Свеча зажигания NGK PFR7AB;NEEDS HUMAN REVIEW;не переведены слова: PFR7AB;BRP;2.000;1;
415130430;SPARK PLUG NGK PZFR6F;Свеча зажигания NGK PZFR6F;NEEDS HUMAN REVIEW;не переведены слова: PZFR6F;BRP;2.000;1;
420239943;SPRING;Пружина;HIGH;;BRP;2.000;1;
514054226;SPRING;Пружина;HIGH;;BRP;2.000;1;
420238120;SPRING;Пружина;HIGH;;BRP;2.000;1;
250000958;SPRING NUT U M5 X 0.8;Гайка пружина U M5 X 0.8;MEDIUM;проверьте порядок слов: SPRING;BRP;2.000;1;
417222312;SPRING SEAT;Сиденье пружина;MEDIUM;проверьте порядок слов: SPRING;BRP;2.000;1;
415129020;SPRING-COMPRESSION;Пружина COMPRESSION;NEEDS HUMAN REVIEW;не переведены слова: COMPRESSION;BRP;2.000;1;
420430041;SQUARE RING;;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;2.000;1;
420660280;STOP SLEEVE;Втулка распорная STOP;NEEDS HUMAN REVIEW;не переведены слова: STOP;BRP;2.000;1;
293850093;STRAP-FUEL TANK;Ремешок топливный TANK;NEEDS HUMAN REVIEW;не переведены слова: TANK;BRP;2.000;1;
417127116;SWIVEL ABUTMENT;;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;2.000;1;
420822655;THERMOSTAT;Термостат;HIGH;;BRP;2.000;1;
235381646;TORX FLAT HEAD SCREW M8X16, SCOTCHGRIP;Винт TORX FLAT HEAD M8X16 SCOTCHGRIP;NEEDS HUMAN REVIEW;не переведены слова: FLAT, HEAD, SCOTCHGRIP, TORX;BRP;2.000;1;
268000013;TRIANGLE;;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;2.000;1;
293650179;TRIDON GEAR CLAMP;Хомут TRIDON шестерня;NEEDS HUMAN REVIEW;не переведены слова: TRIDON;BRP;2.000;1;
420854900;UPPER EXHAUST VALVE;Клапан выпускной верхний;HIGH;;BRP;2.000;1;
505071059;VIPER RED HANDLE;Ручка VIPER RED;NEEDS HUMAN REVIEW;не переведены слова: RED, VIPER;BRP;2.000;1;
420822287;WATER PUMP HOUSING;Насос водяной корпус;MEDIUM;проверьте порядок слов: HOUSING;BRP;2.000;1;
705400520;WHEEL CAP;Колпак колеса;MEDIUM;у слова несколько принятых переводов, выберите нужный: CAP;BRP;2.000;1;
5440645;Adjustment plate, extension;Пластина ADJUSTMENT EXTENSION;NEEDS HUMAN REVIEW;не переведены слова: ADJUSTMENT, EXTENSION;BRP;1.000;1;
508000568;AIR FILTER;Фильтр воздушный;HIGH;;BRP;1.000;1;
508000609;AIR FILTER;Фильтр воздушный;HIGH;;BRP;1.000;1;
508000905;AIR FILTER LH  (NITEX MESH);Фильтр воздушный левый NITEX сетка;MEDIUM;проверьте порядок слов: MESH;BRP;1.000;1;
508000806;AIR FILTER RH, (NITEX MESH);Фильтр воздушный правый NITEX сетка;MEDIUM;проверьте порядок слов: MESH;BRP;1.000;1;
508000595;AIR INTAKE FILTER;Фильтр воздухозаборника;HIGH;;BRP;1.000;1;
278003400;ANTI-THEFT TETHER CORD;Шнур ANTI THEFT чека;NEEDS HUMAN REVIEW;не переведены слова: ANTI, THEFT;BRP;1.000;1;
503190643;AXLE BAR (LONG);Ось BAR длинный;NEEDS HUMAN REVIEW;не переведены слова: BAR;BRP;1.000;1;
709400439;BALL BEARING;Подшипник шариковый;HIGH;;BRP;1.000;1;
293350074;BALL BEARING;Подшипник шариковый;HIGH;;BRP;1.000;1;
420832590;BALL BEARING;Подшипник шариковый;HIGH;;BRP;1.000;1;
420832584;BALL BEARING;Подшипник шариковый;HIGH;;BRP;1.000;1;
420832600;BALL BEARING;Подшипник шариковый;HIGH;;BRP;1.000;1;
420232100;BALL BEARING;Подшипник шариковый;HIGH;;BRP;1.000;1;
420832702;BALL BEARING;Подшипник шариковый;HIGH;;BRP;1.000;1;
204120074;BALL JOINT;Шаровая опора;HIGH;;BRP;1.000;1;
507032437;BEARING HOUSING;Корпус подшипника;HIGH;;BRP;1.000;1;
422280283;BELT DRIVE;Ремень вариатора;HIGH;;BRP;1.000;1;
417300586;BELT_DRIVE;Ремень вариатора;HIGH;;BRP;1.000;1;
417300197;BELT_DRIVE;Ремень вариатора;HIGH;;BRP;1.000;1;
414633800;BELT_DRIVE;Ремень вариатора;HIGH;;BRP;1.000;1;
295100739;BILGE PUMP;Насос трюмный;HIGH;;BRP;1.000;1;
503193098;BLACK WHEEL ASS'Y, 200 MM;Колесо чёрный в сборе 200 MM;MEDIUM;в названии есть многозначное слово, проверьте смысл;BRP;1.000;1;
503192427;BLOCK-RH;;NEEDS HUMAN REVIEW;слово «BLOCK» без человека однозначно не перевести;BRP;1.000;1;
705400127;BOOT_CV JOINT KIT;Комплект пыльника ШРУС;HIGH;;BRP;1.000;1;
705500855;BOOT_CV JOINT KIT;Комплект пыльника ШРУС;HIGH;;BRP;1.000;1;
705500907;BOOT_CV JOINT KIT;Комплект пыльника ШРУС;HIGH;;BRP;1.000;1;
517306982;BOTTOM PAN AIR VENT RH.;Вентиляционная решётка BOTTOM PAN воздушный RH.;NEEDS HUMAN REVIEW;не переведены слова: BOTTOM, PAN, RH.;BRP;1.000;1;
502006687;BOTTOM PAN GRILL;Решётка BOTTOM PAN;NEEDS HUMAN REVIEW;не переведены слова: BOTTOM, PAN;BRP;1.000;1;
420997033;BOWDEN CABLE ASSY;Трос BOWDEN в сборе;NEEDS HUMAN REVIEW;не переведены слова: BOWDEN;BRP;1.000;1;
705601519;BRAKE LINE;Магистраль тормозная;HIGH;;BRP;1.000;1;
710001345;BRAKE SWITCH;Выключатель стоп-сигнала;HIGH;;BRP;1.000;1;
514053352;BUMPER;Бампер;HIGH;;BRP;1.000;1;
514054275;BUMPER;Бампер;HIGH;;BRP;1.000;1;
502007869;BUMPER F;Бампер F;HIGH;;BRP;1.000;1;
502006679;BUMPER, BLACK;Бампер чёрный;HIGH;;BRP;1.000;1;
274001321;BUSHING;Втулка;HIGH;;BRP;1.000;1;
417009204;BUSHING;Втулка;HIGH;;BRP;1.000;1;
417127318;BUSHING;Втулка;HIGH;;BRP;1.000;1;
417223086;BUSHING;Втулка;HIGH;;BRP;1.000;1;
512059626;CALIBRATION MODULE;Модуль CALIBRATION;NEEDS HUMAN REVIEW;не переведены слова: CALIBRATION;BRP;1.000;1;
417222955;CALIBRATION SCREW;Винт CALIBRATION;NEEDS HUMAN REVIEW;не переведены слова: CALIBRATION;BRP;1.000;1;
420280473;CAM;;NEEDS HUMAN REVIEW;слово «CAM» без человека однозначно не перевести;BRP;1.000;1;
417127367;CAM ASS'Y;;NEEDS HUMAN REVIEW;слово «CAM» без человека однозначно не перевести;BRP;1.000;1;
420664046;CAMSHAFT POSITION SENSOR ASS'Y;Датчик CAMSHAFT POSITION в сборе;NEEDS HUMAN REVIEW;не переведены слова: CAMSHAFT, POSITION;BRP;1.000;1;
504154145;CAP;Колпачок;MEDIUM;у слова несколько принятых переводов, выберите нужный: CAP;BRP;1.000;1;
503193894;CASTED SUPPORT;Кронштейн CASTED;NEEDS HUMAN REVIEW;не переведены слова: CASTED;BRP;1.000;1;
275500398;CHECK VALVE;Клапан обратный;HIGH;;BRP;1.000;1;
512060674;CHOKE CABLE;Трос CHOKE;NEEDS HUMAN REVIEW;не переведены слова: CHOKE;BRP;1.000;1;
420851110;CLAMP;Хомут;HIGH;;BRP;1.000;1;
507032477;CLAMP AND SCREW KIT;Винт хомут AND комплект;NEEDS HUMAN REVIEW;не переведены слова: AND;BRP;1.000;1;
860202520;CLAMP KIT;Хомут комплект;MEDIUM;в названии есть многозначное слово, проверьте смысл;BRP;1.000;1;
293650332;CLAMP_CRIMP;Хомут CRIMP;NEEDS HUMAN REVIEW;не переведены слова: CRIMP;BRP;1.000;1;
506152708;CLEAR HANDLE BAR;Ручка CLEAR BAR;NEEDS HUMAN REVIEW;не переведены слова: BAR, CLEAR;BRP;1.000;1;
517302674;CLIP;Клипса;HIGH;;BRP;1.000;1;
250200171;CONICAL SPRING WASHER M18;Шайба CONICAL пружина M18;NEEDS HUMAN REVIEW;не переведены слова: CONICAL;BRP;1.000;1;
517304518;CONSOLE NUT;Гайка CONSOLE;NEEDS HUMAN REVIEW;не переведены слова: CONSOLE;BRP;1.000;1;
420254630;COTTER VALVE;Клапан COTTER;NEEDS HUMAN REVIEW;не переведены слова: COTTER;BRP;1.000;1;
420910821;COVER;Крышка;HIGH;;BRP;1.000;1;
415129685;COVER;Крышка;HIGH;;BRP;1.000;1;
505070003;CUSHION;Подушка;HIGH;;BRP;1.000;1;
M544417;CUSHION;Подушка;HIGH;;BRP;1.000;1;
417300440;CVT AIR DUCT PULLEY;Шкив CVT воздушный DUCT;NEEDS HUMAN REVIEW;не переведены слова: CVT, DUCT;BRP;1.000;1;
420413041;CYLINDER;Цилиндр;HIGH;;BRP;1.000;1;
420413575;CYLINDER BLOCK PLASMA;Цилиндр BLOCK PLASMA;NEEDS HUMAN REVIEW;не переведены слова: BLOCK, PLASMA;BRP;1.000;1;
516008458;DECAL RH;Наклейка правый;HIGH;;BRP;1.000;1;
516007614;DECAL RH;Наклейка правый;HIGH;;BRP;1.000;1;
502007175;DEEP BLACK LH BOTTOM PAN;;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;1.000;1;
509000985;DEFLECTOR;Дефлектор;HIGH;;BRP;1.000;1;
